Unnamed: 0,Phone_Number,Account_Length,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Churn,Cluster,PCA1,PCA2,Day_Eve_Charge_Ratio,Night_Intl_Charge_Ratio
8,329-6603,65,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,1,-2.335098291318875,-0.6817386468890461,1.1302780638516992,2.740524781341108
12,351-7269,161,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,1,-0.0111462100546365,0.5562868545805617,2.095149944465013,4.952054794520548
17,393-7984,77,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,1,-4.273185454148302,-0.0640774369700959,0.7347645429362881,6.123376623376623
26,360-1596,12,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,1,-0.4736580704070107,0.1861257347948059,1.9780885780885784,3.952978056426333
39,398-1294,119,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,1,-2.8597191047725983,-0.7427491625621381,1.3758901322482198,2.7058823529411766
44,353-3759,87,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,1,-2.4540150011618387,-0.4148509049734376,1.374933047670059,3.503816793893129
58,374-8042,150,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,1,-2.974270616342592,-1.655030022399434,2.116214335421016,1.793565683646113
65,374-5353,82,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,1,-0.7839490890706193,-0.404220523890062,3.3170890188434043,3.84493670886076
72,395-3026,106,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,1,-1.724551178047783,-0.6671554368317122,1.6902738432483473,2.570149253731343
74,402-1251,94,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,1,-3.4177324616641576,-0.7678052835859437,2.036418816388468,3.9490740740740735
77,358-9095,128,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,1,-1.085211110301019,-0.66723622048028,1.9211401425178145,2.506666666666667
78,334-1275,155,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,1,-2.4909194570050257,-0.5489292579174643,2.130622304374614,3.675
84,355-6291,120,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,1,-2.699836419656201,-0.0892384185291128,2.0258426966292133,5.258741258741258
85,362-9748,77,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,1,-0.9226621636561648,0.0859013138622573,2.44908466819222,4.671698113207548
99,363-1069,36,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,1,-1.6747584239835462,-1.749567519511552,1.5440701430549146,1.1518518518518517
100,355-6837,74,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,1,-1.7242065664107644,-0.6792767252990195,2.5698234349919744,3.0118110236220472
108,335-4858,162,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,1,-4.612157454441759,-1.188063051781088,0.8976848394324122,2.833333333333333
109,414-8718,61,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,1,-2.6985978801117736,-0.1947748701702525,2.5585874799357944,5.872832369942197
125,390-2390,117,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,1,-2.050124274199712,-0.8602957832977159,1.882703777335984,2.94488188976378
135,370-9116,83,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,1,-0.6348823965335818,-1.3471090700596031,2.967408173823073,1.6229508196721312
168,378-3625,208,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,1,-1.1248523691777157,-1.0261512587361383,3.703135423615744,2.830449826989619
169,353-7292,131,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,True,1,-0.1076264220216386,-0.6040549372093963,2.9340011785503832,3.0804289544235925
186,375-1476,136,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,True,1,-1.296548861508085,-0.8426932559953395,1.873568281938326,1.9373219373219372
197,360-3324,93,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,True,1,-1.7081766490231876,-1.140500299999876,4.821818181818181,3.447183098591549
202,374-9107,139,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,1,-2.7203495840968124,-0.609714465839548,1.272271714922049,3.1672727272727275
207,338-1027,137,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True,1,-3.398836530381992,-1.1793264816904947,2.014912280701754,3.0240963855421685
210,335-1697,108,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,True,1,-0.2917841644826227,1.1737200387262217,1.4828646748681895,6.28740157480315
215,380-2558,33,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,True,1,-2.36865781196443,-1.1155840924173694,2.670658682634731,3.349333333333333
223,386-4170,92,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,1,-3.910926615016052,-0.6129851301298805,0.6931596091205212,3.5516014234875444
241,339-3049,144,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,1,-3.1380152411042306,-0.584861751495846,3.07626310772164,5.477272727272728
253,352-6976,89,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,1,0.1331413784455153,1.7768524815342843,2.3291253381424704,9.818181818181818
257,387-5860,96,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,1,-2.9295468747540574,-1.1433398664713514,2.8756121449559253,3.496402877697842
265,416-1676,127,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,1,-1.0078833744206757,0.6376624302051014,2.0133274100399823,5.861635220125786
266,329-7347,121,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,1,0.0215364096539898,0.9364535893044842,0.9724739845585768,4.427152317880794
270,419-1714,113,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,True,1,-0.5940468212763311,0.2065003681572166,2.0271691498685365,4.182608695652174
271,336-3819,122,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,1,-1.5999678994888789,-1.2105429777239978,2.7595837897042714,1.957792207792208
274,366-7912,62,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,True,1,-0.8767061076194506,-0.3211863398791104,2.26096256684492,3.359550561797753
282,413-9269,128,32,223.5,81,38.0,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,True,1,-2.658599424317408,-1.0599504337254777,2.367601246105919,2.7440944881889764
292,387-5453,54,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,True,1,-1.340531497769268,-0.2710468979781137,2.19205298013245,3.4552529182879383
293,380-3437,86,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,True,1,-3.2129589876177387,-1.3611138541589531,1.3020895522388058,1.893617021276596
301,343-6940,89,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,True,1,-2.0972049769433863,-0.1693345993415019,2.412391738840773,4.804878048780488
312,402-1942,64,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,1,-1.7900652005157054,-0.9432803751936568,2.160925726587729,2.452247191011236
315,341-4463,159,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,True,1,-0.7049955882361089,0.1211950940387227,1.646948003014318,3.46218487394958
319,343-5709,154,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,True,0,0.11848735585869,-0.0552611552685814,3.2413043478260875,4.186813186813187
326,357-1909,151,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,True,1,-2.287531221479844,-1.0712027110271154,3.8127572016460896,3.614925373134328
332,374-7787,95,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,True,1,-1.7713926990617148,-0.2819044197171049,1.156596794081381,2.877813504823151
348,405-5305,16,0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,True,1,-2.618152831531912,-0.9909197871329298,2.232837528604119,2.5616438356164384
350,328-6011,94,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2.0,2,0.54,1,True,1,-1.4233798652002951,3.004631457782185,1.6786015164279695,19.518518518518515
352,402-5155,66,0,167.3,91,28.44,230.0,68,19.55,191.7,118,8.63,10.6,5,2.86,1,True,1,-2.5369936614731823,-0.6060620548786574,1.4547314578005115,3.017482517482518
360,332-5521,122,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,True,1,-2.8922773114832143,-0.5346861534253707,1.6991094147582697,3.856521739130435
368,352-4418,113,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,True,1,-0.7966827556329068,0.4040947264584287,1.6943866943866943,4.56595744680851
